access,bridge,geometry,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,u,v,width
,,"LINESTRING (116.2590208 39.9692449, 116.2588702 39.9694074, 116.2565492 39.9721249)",primary,,0,,383.312,,北坞村路,True,174799504,,,,289275942,1771676983,
,,"LINESTRING (116.2590208 39.9692449, 116.2588718 39.9695525, 116.2568564 39.971881, 116.2566425 39.9721281)",tertiary,,0,,380.158,,北坞村路,True,174799506,,,,289275942,1771676984,
,,"LINESTRING (116.3244629 39.907727, 116.3243861 39.9096129)",residential,,0,,209.805,,,False,60500563,,,,754516009,754517147,
,,"LINESTRING (116.3244629 39.907727, 116.3245807 39.9077719, 116.3256804 39.9077726, 116.3281325 39.9077482)",residential,,0,,314.18899999999996,,茂林居北侧路,True,285477361,,,,754516009,2891549447,
,,"LINESTRING (116.263437 39.9686122, 116.2633052 39.9686095, 116.2623748 39.9685903, 116.2618431 39.9685823, 116.2607464 39.9685659, 116.2604641 39.968578, 116.260157 39.9686199, 116.2598406 39.968702, 116.2595625 39.9688139, 116.2593317 39.9689688, 116.2590208 39.9692449)",primary,,0,,401.959,,北坞村路,True,174799504,,,,289275947,289275942,
,,"LINESTRING (116.3647829 39.9926425, 116.3629699 39.992607)",tertiary,,0,,154.499,,志新路,True,161355941,,,,1733378094,1360087358,
,,"LINESTRING (116.3647829 39.9926425, 116.3644916 39.9925521)",secondary_link,,0,,26.774,,,True,161355953,,,,1733378094,1733378077,
,,"LINESTRING (116.3655015 39.9926566, 116.3647829 39.9926425)",tertiary,,0,,61.237,,志新路,True,161355941,,,,1733378099,1733378094,
,,"LINESTRING (116.2632678 39.96853, 116.2640923 39.9684441, 116.2650975 39.9684609, 116.2674418 39.9685001)",tertiary,,0,,356.42100000000005,,北坞村路,True,26404009,,,,289275958,289276148,
,yes,"LINESTRING (116.2632678 39.96853, 116.2672941 39.9686013, 116.2676222 39.9686052)",primary,,0,,371.175,,北坞村路,True,"[174799505, 165628702]",,,,289275958,289275959,
,,"LINESTRING (116.2676222 39.9686052, 116.2679447 39.9685516, 116.2681753 39.9684767, 116.2683474 39.9683828, 116.2684879 39.9682666, 116.2686256 39.9681107, 116.2686998 39.9679657, 116.2687248 39.9677941, 116.268724 39.9675803, 116.2686871 39.9673991, 116.2686241 39.967129, 116.2685817 39.9667395)",trunk_link,,0,,260.67499999999995,,,True,26403973,,,,289275959,289275967,
,,"LINESTRING (116.2676222 39.9686052, 116.268326 39.9686218, 116.2689612 39.9686188, 116.269224 39.9686095, 116.2694052 39.9685857, 116.2696165 39.968525, 116.2697917 39.9684441, 116.2699573 39.9683374, 116.2701133 39.9682031, 116.2702309 39.9680578, 116.2702981 39.9678977, 116.2703149 39.9677432, 116.2703125 39.9675648, 116.2702645 39.9673919, 116.270156 39.9672394, 116.2699717 39.9671256, 116.2697743 39.9670983, 116.2695844 39.9671233, 116.2694226 39.9671961, 116.2693143 39.9673053, 116.2692505 39.9674293, 116.2692258 39.9677658)",trunk_link,,0,,478.30100000000004,,,True,26404002,,,,289275959,35862246,
,yes,"LINESTRING (116.2685817 39.9667395, 116.2685047 39.9662578, 116.2684807 39.9656296, 116.2684903 39.9651667, 116.2689443 39.9613569, 116.2691674 39.9592583)",trunk,,0,4,834.846,,西四环北路,True,"[152587379, 152587364, 114108317]",,,,289275967,1293134839,
,,"LINESTRING (116.3220004 39.9105762, 116.3220216 39.9096584)",residential,,0,,102.071,,,False,60500562,,,,754516033,754517296,
,,"LINESTRING (116.3220004 39.9105762, 116.3219716 39.9115737)",residential,,0,,110.944,,,False,60500562,,,,754516033,754515534,
,,"LINESTRING (116.3220004 39.9105762, 116.3211576 39.9105766)",residential,,0,,71.884,,,False,60500693,,,,754516033,754514840,
,,"LINESTRING (116.0913762 40.0828696, 116.0915854 40.0829147, 116.0918751 40.0829558, 116.092154 40.0830994, 116.0924169 40.0833375, 116.0926422 40.0836125, 116.0928192 40.0838505, 116.0933449 40.084068, 116.0936931 40.0841785, 116.0939672 40.0842404, 116.0944017 40.0843225, 116.0946748 40.0844001, 116.0949328 40.084499, 116.0951366 40.0845893, 116.0953346 40.0846463, 116.0956087 40.0847124, 116.0958501 40.0847863, 116.0959037 40.0848725, 116.0958388 40.0850445, 116.0957053 40.0852214, 116.0955599 40.0853605, 116.0954365 40.0855616, 116.0953673 40.0857262, 116.0952976 40.0858616, 116.0952574 40.0860106)",unclassified,,0,,602.667,,,False,185458847,,,,1960558665,537797049,
,,"LINESTRING (116.0913762 40.0828696, 116.0914781 40.0825371, 116.0916117 40.0823069, 116.0917678 40.0821103, 116.0918653 40.0819122)",unclassified,,0,,115.099,,,False,185458847,,,,1960558665,1960558740,
,,"LINESTRING (116.0913762 40.0828696, 116.0913494 40.0829968, 116.0912689 40.0831446, 116.0911348 40.0832513, 116.0908719 40.08328, 116.0906198 40.083317, 116.0904535 40.0834155, 116.0903355 40.0836576, 116.0902867 40.0838747, 116.0902437 40.0840553, 116.0902228 40.0844169, 116.0904481 40.0845441, 116.0908392 40.0846833, 116.0913005 40.0847736, 116.0916444 40.0847822, 116.0918268 40.0847453, 116.0919335 40.0846792)",unclassified,,0,,382.832,,,False,185458972,,,,1960558665,1960559777,
,,"LINESTRING (116.3531565 39.9602536, 116.3542637 39.9602619, 116.3542744 39.9600974, 116.3547465 39.9601056, 116.3547033 39.9610265, 116.3546674 39.9616441, 116.3546393 39.962129)",residential,,0,,378.112,,,False,"[399047512, 399048058]",,,,4017832019,4017931890,
,,"LINESTRING (116.2694237 39.9455437, 116.2680293 39.9455764)",primary,,0,,118.926,,杏石口路,True,164599629,,,,321421405,1670551418,
,,"LINESTRING (116.2694237 39.9455437, 116.2694387 39.9456606)",tertiary,,0,,13.061,,西四环北路,True,164599647,,,,321421405,537976109,
,,"LINESTRING (116.2755957 39.9453379, 116.275595 39.9452294)",residential,,0,,12.065,,农科院西路,False,42943446,,,,321421407,321938373,
,,"LINESTRING (116.2755957 39.9453379, 116.2738959 39.9453974)",primary,,0,,145.056,,紫竹院路,True,290503436,,,,321421407,1762167084,
,,"LINESTRING (116.2800471 39.9453369, 116.2796805 39.9454136)",primary_link,,0,,32.395,,,True,164599614,,,,321421409,537975527,
,,"LINESTRING (116.2800471 39.9453369, 116.2789229 39.9452614, 116.2779429 39.9452492, 116.2755957 39.9453379)",primary,,0,,380.096,,紫竹院路,True,290503436,,,,321421409,321421407,
,yes,"LINESTRING (116.3245362 40.0204162, 116.3239144 40.0203309, 116.3234002 40.0202873, 116.3228213 40.0203005, 116.3221874 40.0204382, 116.3217299 40.0206202, 116.3210851 40.0208689, 116.3205247 40.0211479, 116.3199923 40.0215484, 116.3195949 40.022012, 116.319021 40.0226928)",motorway_link,,0,,580.89,,,True,"[313488892, 241919291, 174581532]",,,,2494906467,2417303456,
,yes,"LINESTRING (116.3245362 40.0204162, 116.3234089 40.0200449, 116.3205169 40.0190772, 116.3186818 40.0185735, 116.3159507 40.0179597, 116.3136099 40.017518)",motorway,,0,3,986.9369999999999,,北五环,True,"[313488922, 241919292]",S50,,,2494906467,321477187,
,,"LINESTRING (116.3283373 39.8973045, 116.3261949 39.897254)",residential,,0,,182.851,,,False,60500619,,,,754516069,754517188,
,,"LINESTRING (116.3283373 39.8973045, 116.32835 39.898921, 116.3282036 39.8991763, 116.3281385 39.9003943, 116.3283692 39.900523, 116.3283231 39.9013222)",residential,,0,,459.59999999999997,,东双贝子坟路,False,60500530,,,,754516069,754516912,
,,"LINESTRING (116.3283373 39.8973045, 116.3283874 39.8962138, 116.3283916 39.896122)",residential,,0,,131.57,,东双贝子坟路,False,60500530,,,,754516069,754515877,
,,"LINESTRING (116.3559545 40.0083254, 116.3560003 40.0081929, 116.3560671 40.0080693, 116.3562703 40.0078911, 116.3566997 40.0076029)",primary,,0,,105.05099999999999,,G6辅路,True,48051223,S216,,,610910309,1317051678,
