name,node_id,zone_id,micro_node_set,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,3846017372,,,,,,-111.908763,33.3327654,"<Point><coordinates>-111.908763,33.3327654</coordinates></Point>"
,42406235,,,,,,-111.9556753,33.360629,"<Point><coordinates>-111.9556753,33.360629</coordinates></Point>"
,42439030,,,,,,-111.9598157,33.3742975,"<Point><coordinates>-111.9598157,33.3742975</coordinates></Point>"
,42439033,,,,,,-111.9596772,33.3739752,"<Point><coordinates>-111.9596772,33.3739752</coordinates></Point>"
,41832826,,,,,,-111.9622727,33.3259129,"<Point><coordinates>-111.9622727,33.3259129</coordinates></Point>"
,255758718,,,,,,-111.8909793,33.4005119,"<Point><coordinates>-111.8909793,33.4005119</coordinates></Point>"
,42406271,,,,,,-111.9493753,33.3603781,"<Point><coordinates>-111.9493753,33.3603781</coordinates></Point>"
,42488194,,,,,,-111.8874838,33.416595,"<Point><coordinates>-111.8874838,33.416595</coordinates></Point>"
,41832843,,,,,,-111.9621701,33.3242398,"<Point><coordinates>-111.9621701,33.3242398</coordinates></Point>"
,41859265,,,,,,-111.9041442,33.3699013,"<Point><coordinates>-111.9041442,33.3699013</coordinates></Point>"
,42488207,,,,,,-111.8882842,33.3970411,"<Point><coordinates>-111.8882842,33.3970411</coordinates></Point>"
,41570712,,,,,,-111.9090828,33.4190024,"<Point><coordinates>-111.9090828,33.4190024</coordinates></Point>"
,42439068,,,,,,-111.9586298,33.3345485,"<Point><coordinates>-111.9586298,33.3345485</coordinates></Point>"
,42553758,,,,,,-111.8998457,33.3622022,"<Point><coordinates>-111.8998457,33.3622022</coordinates></Point>"
,42488228,,,,,,-111.887921,33.3899878,"<Point><coordinates>-111.887921,33.3899878</coordinates></Point>"
,41832870,,,,,,-111.9598384,33.4230749,"<Point><coordinates>-111.9598384,33.4230749</coordinates></Point>"
,41570726,,,,,,-111.9016126,33.4192608,"<Point><coordinates>-111.9016126,33.4192608</coordinates></Point>"
,42488234,,,,,,-111.887797,33.387146,"<Point><coordinates>-111.887797,33.387146</coordinates></Point>"
,321278392,,,,,,-111.9134689,33.3825531,"<Point><coordinates>-111.9134689,33.3825531</coordinates></Point>"
,42553791,,,,,,-111.9041915,33.3625567,"<Point><coordinates>-111.9041915,33.3625567</coordinates></Point>"
,4346532291,,,,,,-111.963016,33.3199329,"<Point><coordinates>-111.963016,33.3199329</coordinates></Point>"
,42553798,,,,,,-111.9032103,33.3624928,"<Point><coordinates>-111.9032103,33.3624928</coordinates></Point>"
,42553810,,,,,,-111.9017169,33.3624603,"<Point><coordinates>-111.9017169,33.3624603</coordinates></Point>"
,42439136,,,,,,-111.9566612,33.4255035,"<Point><coordinates>-111.9566612,33.4255035</coordinates></Point>"
,42439146,,,,,,-111.9564857,33.4219248,"<Point><coordinates>-111.9564857,33.4219248</coordinates></Point>"
